tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
51;198;42;106;36257;9;15;8;10;34;38;13
52;165;39;80;36187;8;14;7;10;8;39;13
53;171;42;79;36117;9;15;8;9;8;39;13
54;168;43;78;36061;9;15;8;9;8;38;13
55;168;43;79;36010;9;15;8;9;8;40;13
56;166;40;78;35965;8;13;7;10;8;37;13
57;170;42;79;35926;9;15;8;9;7;41;13
58;164;43;72;35892;9;15;8;9;7;33;13
59;153;44;59;35864;9;15;8;9;8;18;14
60;153;43;58;35843;9;15;8;9;9;15;15
61;153;43;59;35825;9;15;8;9;8;19;14
62;149;43;55;35807;9;15;8;8;7;18;13
63;159;42;62;35793;9;15;8;9;8;22;13
64;148;43;55;35781;9;16;8;9;7;17;13
65;161;46;63;35773;9;17;9;9;15;15;14
66;163;47;62;35766;9;18;10;9;12;15;15
67;168;39;57;35764;8;13;7;9;9;18;13
68;128;43;34;35763;9;15;8;7;6;0;12
69;149;42;39;35763;9;14;8;9;8;0;13
70;140;41;37;35763;9;14;8;8;7;0;13
71;141;41;34;35763;9;14;7;7;6;0;12
72;148;39;40;35763;9;14;7;9;8;0;14
73;140;42;39;35763;9;14;8;9;8;0;14
74;144;41;38;35763;9;14;8;8;7;0;13
75;149;42;39;35763;9;15;8;8;7;0;13
76;143;39;35;35763;9;13;7;7;6;0;12
77;144;42;35;35763;9;15;8;7;6;0;12
78;152;43;38;35763;9;15;8;8;7;0;13
79;146;40;41;35763;9;14;8;9;8;0;14
80;144;39;40;35763;9;13;7;9;8;0;14
81;143;42;38;35763;9;14;8;8;7;0;13
82;170;65;38;35763;10;37;8;8;8;0;13
83;137;39;39;35763;9;14;7;8;7;0;14
84;147;42;40;35763;9;14;8;8;8;0;14
85;144;41;40;35763;9;14;8;9;8;0;15
86;141;41;38;35763;9;14;8;8;7;0;14
87;146;40;40;35763;9;14;7;9;7;0;14
88;141;40;35;35763;9;14;7;7;6;0;13
89;150;41;39;35763;9;14;8;8;7;0;14
90;140;40;39;35763;9;14;7;8;7;0;14
91;143;41;38;35763;9;14;8;8;7;0;14
92;141;47;35;35763;10;17;9;7;6;0;13
93;148;40;40;35763;9;14;8;8;8;0;14
94;146;41;39;35763;9;14;8;8;8;0;14
95;150;39;41;35763;8;13;7;9;8;0;15
96;136;41;35;35763;9;14;8;7;6;0;13
97;151;39;42;35763;8;13;7;9;7;0;17
98;161;45;46;35763;9;18;9;8;13;0;15
99;159;66;38;35763;9;37;9;8;8;0;14
100;142;40;40;35763;9;14;7;8;7;0;15
101;142;39;40;35763;9;13;7;8;8;0;14
102;148;48;39;35763;10;18;9;8;8;0;14
103;143;41;36;35763;9;14;8;7;7;0;13
104;146;41;40;35763;9;14;7;9;8;0;14
105;141;40;36;35763;9;14;7;7;7;0;13
106;146;42;39;35763;9;14;8;8;7;0;15
107;144;41;38;35763;9;14;7;8;7;0;14
108;149;40;39;35763;9;13;7;8;7;0;14
109;145;39;39;35763;8;13;7;9;7;0;14
110;145;42;39;35763;9;14;8;8;7;0;14
111;144;41;39;35763;9;14;8;8;7;0;14
112;149;41;41;35763;9;14;8;9;8;0;15
113;136;40;36;35763;9;14;8;7;6;0;13
114;141;41;35;35763;9;14;8;7;6;0;13
115;151;42;41;35763;9;14;8;9;8;0;15
116;164;66;39;35763;10;17;29;8;8;0;14
117;137;41;36;35763;9;14;8;7;7;0;13
118;147;41;36;35763;9;14;7;7;6;0;13
